BONUS,10,00,5,0,00,990,00
BONUS,10,00,5,0,00,980,00
BONUS,10,00,CRAZY,0,00,970,00
BONUS,10,00,1,0,00,960,00
BONUS,10,00,10,0,00,950,00
BONUS,10,00,BONUS,200,00,1150,00
BONUS,10,00,2,0,00,1140,00
BONUS,10,00,5,0,00,1130,00
BONUS,10,00,5,0,00,1120,00
BONUS,10,00,10,0,00,1110,00
BONUS,10,00,10,0,00,1100,00
BONUS,10,00,10,0,00,1090,00
BONUS,10,00,2,0,00,1080,00
BONUS,10,00,CRAZY,0,00,1070,00
BONUS,10,00,5,0,00,1060,00
BONUS,10,00,1,0,00,1050,00
BONUS,10,00,1,0,00,1040,00
BONUS,10,00,2,0,00,1030,00
BONUS,10,00,1,0,00,1020,00
BONUS,10,00,5,0,00,1010,00
BONUS,10,00,10,0,00,1000,00
BONUS,10,00,10,0,00,990,00
BONUS,10,00,5,0,00,980,00
BONUS,10,00,5,0,00,970,00
BONUS,10,00,BONUS,200,00,1170,00
BONUS,10,00,1,0,00,1160,00
BONUS,10,00,1,0,00,1150,00
BONUS,10,00,BONUS,200,00,1350,00
BONUS,10,00,5,0,00,1340,00
BONUS,10,00,2,0,00,1330,00
BONUS,10,00,1,0,00,1320,00
BONUS,10,00,5,0,00,1310,00
BONUS,10,00,1,0,00,1300,00
BONUS,10,00,10,0,00,1290,00
BONUS,10,00,5,0,00,1280,00
CRAZY,10,00,5,0,00,1270,00
CRAZY,10,00,5,0,00,1260,00
CRAZY,10,00,1,0,00,1250,00
CRAZY,10,00,2,0,00,1240,00
CRAZY,10,00,5,0,00,1230,00
CRAZY,10,00,CRAZY,500,00,1730,00
CRAZY,10,00,10,0,00,1720,00
CRAZY,10,00,CRAZY,500,00,2220,00
CRAZY,10,00,2,0,00,2210,00
CRAZY,10,00,2,0,00,2200,00
CRAZY,10,00,5,0,00,2190,00
CRAZY,10,00,5,0,00,2180,00
CRAZY,10,00,BONUS,0,00,2170,00
CRAZY,10,00,10,0,00,2160,00
CRAZY,10,00,BONUS,0,00,2150,00
CRAZY,10,00,5,0,00,2140,00
CRAZY,10,00,5,0,00,2130,00
CRAZY,10,00,CRAZY,500,00,2630,00
CRAZY,10,00,CRAZY,500,00,3130,00
CRAZY,10,00,2,0,00,3120,00
CRAZY,10,00,BONUS,0,00,3110,00
CRAZY,10,00,1,0,00,3100,00
CRAZY,10,00,1,0,00,3090,00
CRAZY,10,00,1,0,00,3080,00
CRAZY,10,00,CRAZY,500,00,3580,00
CRAZY,10,00,5,0,00,3570,00
CRAZY,10,00,1,0,00,3560,00
CRAZY,10,00,2,0,00,3550,00
CRAZY,10,00,5,0,00,3540,00
CRAZY,10,00,1,0,00,3530,00
CRAZY,10,00,10,0,00,3520,00
CRAZY,10,00,5,0,00,3510,00
CRAZY,10,00,CRAZY,500,00,4010,00
CRAZY,10,00,CRAZY,500,00,4510,00
CRAZY,10,00,BONUS,0,00,4500,00
CRAZY,10,00,CRAZY,500,00,5000,00
CRAZY,10,00,5,0,00,4990,00
2,10,00,1,0,00,4980,00
2,10,00,1,0,00,4970,00
2,10,00,5,0,00,4960,00
2,10,00,2,20,00,4980,00
2,10,00,BONUS,0,00,4970,00
2,10,00,2,20,00,4990,00
2,10,00,2,20,00,5010,00
2,10,00,10,0,00,5000,00
2,10,00,10,0,00,4990,00
2,10,00,2,20,00,5010,00
2,100,00,5,0,00,4910,00
2,100,00,10,0,00,4810,00
2,100,00,10,0,00,4710,00
2,100,00,10,0,00,4610,00
2,100,00,BONUS,0,00,4510,00
2,100,00,BONUS,0,00,4410,00
2,100,00,2,200,00,4610,00
2,100,00,5,0,00,4510,00
5,1000,00,BONUS,0,00,3510,00
5,1000,00,2,0,00,2510,00
5,1000,00,10,0,00,1510,00
5,1000,00,5,5000,00,6510,00
